,School_Name,Address,School_Type,Accessible
0,ADDAMS,10810 S AVENUE H,ES,First Floor Usable
1,AGASSIZ,2851 N SEMINARY AVE,ES,Usable
2,AIR FORCE HS,3630 S WELLS ST,HS,Usable
3,ALCOTT ES,2625 N ORCHARD ST,ES,Not Accessible
4,ALCOTT HS,2957 N HOYNE AVE,HS,Usable
5,ALDRIDGE,630 E 131ST ST,ES,Usable
6,AMUNDSEN HS,5110 N DAMEN AVE,HS,Usable
7,ARIEL,1119 E 46TH ST,ES,Not Accessible
8,ARMOUR,950 W 33RD PL,ES,Usable
9,ARMSTRONG G,2110 W GREENLEAF AVE,ES,First Floor Usable
10,ASHBURN,8300 S ST LOUIS AVE,ES,Not Accessible
11,ASHE,8505 S INGLESIDE AVE,ES,Not Accessible
12,ASPIRA - HAUGAN,3729 W LELAND AVE,ES,Usable
13,AUDUBON,3500 N HOYNE AVE,ES,Not Accessible
14,AVALON PARK,8045 S KENWOOD AVE,ES,Not Accessible
15,AZUELA,4707 W MARQUETTE RD,ES,Usable
16,BACK OF THE YARDS HS,2111 W 47TH ST,HS,Usable
17,BARNARD,10354 S CHARLES ST,ES,Usable
18,BARRY,2828 N KILBOURN AVE,ES,Not Accessible
19,BARTON,7650 S WOLCOTT AVE,ES,Not Accessible
20,BASS,1140 W 66TH ST,ES,Not Accessible
21,BATEMAN,4220 N RICHMOND ST,ES,Not Accessible
22,BEARD,6445 W STRONG ST,ES,Not Accessible
23,BEASLEY,5255 S STATE ST,ES,Usable
24,BEAUBIEN,5025 N LARAMIE AVE,ES,Usable
25,BEETHOVEN,25 W 47TH ST,ES,Usable
26,BEIDLER,3151 W WALNUT ST,ES,Usable
27,BELDING,4257 N TRIPP AVE,ES,Not Accessible
28,BELL,3730 N OAKLEY AVE,ES,Usable
29,BELMONT-CRAGIN,5252 W PALMER ST,ES,First Floor Usable
30,BENNETT,10115 S PRAIRIE AVE,ES,Not Accessible
31,BLACK,9101 S EUCLID AVE,ES,Not Accessible
32,BLAINE,1420 W GRACE ST,ES,Not Accessible
33,BLAIR,6751 W 63RD PL,ES,Not Accessible
34,BOGAN HS,3939 W 79TH ST,HS,Usable
35,BOND,7050 S MAY ST,ES,Not Accessible
36,BOONE,6710 N WASHTENAW AVE,ES,Not Accessible
37,BOUCHET,7355 S JEFFERY BLVD,ES,Not Accessible
38,BOWEN HS,2710 E 89TH ST,HS,Usable
39,BRADWELL,7736 S BURNHAM AVE,ES,Usable
40,BRENNEMANN,4251 N CLARENDON,ES,Not Accessible
41,BRENTANO,2723 N FAIRFIELD AVE,ES,Not Accessible
42,BRIDGE,3800 N NEW ENGLAND AVE,ES,Not Accessible
43,BRIGHT,10740 S CALHOUN AVE,ES,Usable
44,BRIGHTON PARK,3825 S WASHTENAW AVE,ES,Not Accessible
45,BROOKS HS,250 E 111TH ST,HS,Usable
46,BROWN R,12607 S UNION AVE,ES,Not Accessible
47,BROWN W,54 N HERMITAGE AVE,ES,Usable
48,BROWNELL,6741 S MICHIGAN AVE,ES,Not Accessible
49,BRUNSON,932 N CENTRAL AVE,ES,Usable
50,BUDLONG,2701 W FOSTER AVE,ES,Not Accessible
51,BURBANK,2035 N MOBILE AVE,ES,Usable
52,BURKE,5356 S DR MARTIN LUTHER KING JR,ES,Usable
53,BURLEY,1630 W BARRY AVE,ES,Not Accessible
54,BURNHAM,9928 S CRANDON AVE,ES,Usable
55,BURNSIDE,650 E 91ST PL,ES,Not Accessible
56,BURR,1621 W WABANSIA AVE,ES,Usable
57,BURROUGHS,3542 S WASHTENAW AVE,ES,Usable
58,BYRNE,5329 S OAK PARK AVE,ES,Usable
59,CALDWELL,8546 S CREGIER AVE,ES,Not Accessible
60,CALMECA,3456 W 38TH ST,ES,Usable
61,CAMELOT - EXCEL ENGLEWOOD HS,7141 S MORGAN,HS,Not Accessible
62,CAMELOT - EXCEL SOUTHSHORE HS,7530 S South Shore DR,HS,Usable
63,CAMERON,1234 N MONTICELLO AVE,ES,First Floor Usable
64,CAMRAS,3000 N MANGO AVE,ES,Not Accessible
65,CANTY,3740 N PANAMA AVE,ES,Usable
66,CARDENAS,2345 S MILLARD AVE,ES,Not Accessible
67,CARNEGIE,1414 E 61ST PL,ES,Not Accessible
68,CARROLL,2929 W 83RD ST,ES,Usable
69,CARSON,5516 S MAPLEWOOD AVE,ES,Usable
70,CARTER,5740 S MICHIGAN AVE,ES,Not Accessible
71,CARVER G,901 E 133RD PL,ES,Not Accessible
72,CARVER MILITARY HS,13100 S DOTY AVE,HS,Usable
73,CASALS,3501 W POTOMAC AVE,ES,Usable
74,CASSELL,11314 S SPAULDING AVE,ES,Usable
75,CASTELLANOS,2524 S CENTRAL PARK AVE,ES,Not Accessible
76,CATHER,2908 W WASHINGTON BLVD,ES,Usable
77,CHALMERS,2745 W ROOSEVELT RD,ES,Usable
78,CHAPPELL,2135 W FOSTER AVE,ES,Usable
79,CHASE,2021 N POINT ST,ES,Usable
80,CHAVEZ,4747 S MARSHFIELD AVE,ES,Usable
81,CHICAGO ACADEMY ES,3400 N AUSTIN AVE,ES/HS,First Floor Usable
82,CHICAGO AGRICULTURE HS,3857 W 111TH ST,HS,Usable
83,CHICAGO ARTS HS,2714 W AUGUSTA BLVD,HS,Usable
84,CHICAGO MILITARY HS,3519 S GILES AVE,HS,Usable
85,CHICAGO TECH HS,1301 W 14TH ST,HS,Usable
86,CHICAGO VOCATIONAL HS,2100 E 87TH ST,HS,Usable
87,CHOPIN,2450 W RICE ST,ES,Not Accessible
88,CHRISTOPHER,5042 S ARTESIAN AVE,ES,Usable
89,CICS - CHICAGOQUEST HS,1443 N OGDEN AVE,HS,Usable
90,CLAREMONT,2300 W 64TH ST,ES,Usable
91,CLARK ES,1045 S MONITOR AVE,ES,Usable
92,CLARK HS,5101 W HARRISON,HS,Usable
93,CLAY,13231 S BURLEY AVE,ES,Usable
94,CLEMENTE HS,1147 N WESTERN AVE,HS,Usable
95,CLEVELAND,3121 W BYRON ST,ES,Not Accessible
96,CLINTON,6110 N FAIRFIELD AVE,ES,Not Accessible
97,CLISSOLD,2350 W 110TH PL,ES,Not Accessible
98,COLEMON,1441 W 119TH ST,ES,Usable
99,COLES,8441 S YATES BLVD,ES,First Floor Usable
100,COLLINS HS,1313 S SACRAMENTO DR,HS,Usable
